TRACKING_MONTH,CARRIER,SOURCE_CITY,SOURCE_STATE,SOURCE_COUNTRY,DEST_CITY,DEST_STATE,DEST_COUNTRY,ORDER_COUNT,AVG_TRANSIT_DAYS,ACTUAL_TRANSIT_DAYS,ONTIME_PERFORMANCE
2024 12,ODFL,CHICAGO,IL,US,CHARLOTTE,NC,US,4,2,3,50
2025 01,ODFL,RICHMOND,VA,US,CARLISLE,PA,US,7,1,3,58
2025 01,ODFL,LOSANGELES,CA,US,PUYALLUP,WA,US,12,2,6,75
2024 12,ODFL,LANCASTER,TX,US,BESSEMER,AL,US,5,2,3,100
2024 10,ODFL,DALLAS,TX,US,RICHMOND,VA,US,2,4,3,100
2025 02,ODFL,CHICAGO,IL,US,VILLA RICA,GA,US,5,2,3,60
2025 02,ODFL,RICHMOND,VA,US,UXBRIDGE,MA,US,12,2,7,25
2025 02,ODFL,CHICAGO,IL,US,MESQUITE,NV,US,3,4,5,34
2024 12,AEQC,RICHMOND,VA,US,KERNERSVILLE,NC,US,26,1,2,13
2024 11,ODFL,LANCASTER,TX,US,SUTHERLAND,VA,US,2,3,5,100
2025 02,ODFL,DALLAS,TX,US,SPARTANBURG,SC,US,8,3,5,38
2024 11,ODFL,CHICAGO,IL,US,KENOSHA,WI,US,2,1,2,100
2025 03,ODFL,CHICAGO,IL,US,BLUFFTON,IN,US,8,2,7,100
2025 03,ODFL,RICHMOND,VA,US,PERRYSBURG,OH,US,6,2,4,100
2025 03,ODFL,LOSANGELES,CA,US,WOODLAND,CA,US,8,2,4,100
2025 03,ODFL,CHICAGO,IL,US,MOUNT VERNON,IL,US,9,2,3,34
2025 03,ODFL,RICHMOND,VA,US,LAKELAND,FL,US,14,3,6,100
2025 03,ODFL,DALLAS,TX,US,LONDON,OH,US,6,4,6,100
2025 02,ODFL,CHICAGO,IL,US,BENTONVILLE,AR,US,4,2,4,25
2025 03,ODFL,RICHMOND,VA,US,TAYLOR,PA,US,6,2,4,100
2025 03,ODFL,RICHMOND,VA,US,HATTIESBURG,MS,US,8,3,6,75
2025 03,ODFL,CHICAGO,IL,US,PUEBLO,CO,US,4,3,6,25
2025 01,ODFL,CHICAGO,IL,US,DACULA,GA,US,5,2,7,100
2025 02,ODFL,CHICAGO,IL,US,BROWNSTOWN,MI,US,6,1,3,34
2025 03,ODFL,RICHMOND,VA,US,JUPITER,FL,US,4,2,4,100
2025 03,ODFL,RICHMOND,VA,US,MIDWAY,TN,US,6,2,3,50
2025 03,ODFL,RICHMOND,VA,US,SMYRNA,DE,US,2,2,3,100
2025 03,ODFL,DALLAS,TX,US,ORLANDO,FL,US,14,4,8,15
2025 02,ODFL,DALLAS,TX,US,GREENCASTLE,PA,US,4,4,7,50
2025 02,ODFL,DALLAS,TX,US,OLIVE BRANCH,MS,US,3,2,4,100
2025 03,ODFL,RICHMOND,VA,US,HOPE MILLS,NC,US,8,2,4,34
2025 03,ODFL,CHICAGO,IL,US,BENTONVILLE,AR,US,5,2,4,40
2025 03,ODFL,CHICAGO,IL,US,MOUNT PLEASANT,IA,US,4,2,3,50
2025 03,ODFL,LANCASTER,TX,US,GALESBURG,MI,US,2,3,4,100
