SOURCE_CITY,SOURCE_STATE,SOURCE_COUNTRY,DEST_CITY,DEST_STATE,DEST_COUNTRY,TMODE,CARRIER,SPOT_RATE,DISTANCE,COST_PER_MILE
ELWOOD,IL,US,CHIPPEWA FALLS,WI,US,LTL,CTII,805.13,340,2.31
ELWOOD,IL,US,GREENVILLE,SC,US,LTL,ODFL,321.51,711,0.44
ELWOOD,IL,US,FORT ATKINSON,WI,US,LTL,ODFL,139.58,130,1.04
RICHMOND,VA,US,MARION,IN,US,LTL,ODFL,607.39,613,0.97
RICHMOND,VA,US,VILLA RICA,GA,US,TL,RBTW,1297.15,546,2.43
RICHMOND,VA,US,SALT LAKE CITY,UT,US,LTL,FXFE,4252.6,2093,2.07
RICHMOND,VA,US,JACKSONVILLE,FL,US,TL,AFXN,1580.07,597,2.71
RICHMOND,VA,US,HAGERSTOWN,MD,US,TL,AEQC,760.57,168,4.57
RICHMOND,VA,US,AUBURNDALE,FL,US,TL,AFXN,2757.93,783,3.63
RICHMOND,VA,US,HAMILTON,NJ,US,LTL,ODFL,153.76,271,0.56
LANCASTER,TX,US,DFW AIRPORT,TX,US,TL,RBTW,415.74,27,15.35
LANCASTER,TX,US,FORNEY,TX,US,TL,AFXN,263.12,26,10.56
REDLANDS,CA,US,VILLA RICA,GA,US,TL,RBTW,4237.93,2057,2.17
REDLANDS,CA,US,CHARLESTON,TN,US,LTL,ODFL,915.4,2075,0.46
REDLANDS,CA,US,JANESVILLE,WI,US,LTL,ODFL,1603.75,1929,0.87
REDLANDS,CA,US,SHELBY TOWNSHIP,MI,US,TL,RBTW,5186.96,2253,2.29
REDLANDS,CA,US,OTTAWA,IL,US,LTL,ODFL,590,1905,0.3
REDLANDS,CA,US,CASTLETON,NY,US,LTL,ODFL,369.69,2744,0.13
LANCASTER,TX,US,DUPONT,WA,US,LTL,ODFL,422.51,2083,0.21
LANCASTER,TX,US,GEORGETOWN,TX,US,LTL,SEFL,163.53,158,1.03
PHARR,TX,US,WILLOW STREET,PA,US,LTL,ODFL,157.73,1804,0.09
PHARR,TX,US,CHARLESTON,WV,US,PARCEL,FDEG,5168.6,1492,3.35
PHARR,TX,US,HORSHAM,PA,US,TL,RBTW,4458.48,1875,2.35
